keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[190, 208], [250, 211], [209, 215], [229, 216], [219, 216], [232, 205], [194, 216], [256, 205]]",82,0.134197,0.023671,0.028125,"[ 3.09067121e-03 -6.98056023e-03 -3.47559611e-05  5.06199315e-08
 -2.02130935e-07  5.05884962e-05]",0.066689,0
"[[190, 208], [251, 212], [209, 215], [229, 216], [220, 216], [232, 206], [194, 217], [256, 205]]",83,0.134685,0.025006,0.028697,"[ 2.81260186e-03 -3.69318949e-03 -1.37098299e-05 -3.58844138e-08
 -5.90920098e-08  2.24100829e-05]",0.067149,0
"[[190, 209], [250, 212], [209, 216], [229, 217], [220, 217], [232, 207], [195, 217], [256, 206]]",84,0.133667,0.025315,0.028988,"[ 3.54903797e-03 -3.96265623e-04 -2.14074950e-06 -2.52140169e-09
  1.71286529e-08  3.36795288e-06]",0.066277,0
"[[190, 209], [249, 213], [208, 216], [229, 217], [219, 217], [231, 207], [194, 217], [255, 206]]",85,0.137594,0.024621,0.028414,"[ 4.23120480e-03 -2.06907286e-03 -4.87057655e-06 -4.76540824e-08
 -4.10548305e-08  2.39036081e-05]",0.069771,0
"[[189, 209], [250, 213], [208, 216], [228, 217], [218, 217], [231, 207], [194, 218], [255, 206]]",86,0.126436,0.02494,0.028597,"[ 2.87803645e-03 -2.10817768e-03 -8.55597558e-06 -2.36488643e-08
 -2.58956380e-08  1.46752176e-05]",0.056902,0
"[[189, 210], [249, 213], [208, 217], [229, 218], [218, 218], [230, 208], [193, 218], [254, 207]]",87,0.138408,0.023123,0.027556,"[ 3.03978398e-03  3.64678599e-03  2.61030068e-05 -1.68203751e-07
  1.65564810e-07 -2.72911841e-05]",0.069249,0
"[[189, 210], [249, 213], [207, 217], [228, 218], [217, 218], [230, 207], [193, 218], [254, 207]]",88,0.134229,0.024299,0.028235,"[ 2.98194630e-03 -3.17717470e-03 -1.44983352e-05 -2.89638625e-08
 -9.03725876e-08  2.70112619e-05]",0.066855,0
"[[188, 209], [249, 213], [207, 216], [227, 218], [217, 218], [230, 208], [193, 218], [254, 206]]",89,0.126977,0.025114,0.028857,"[ 2.82581859e-03 -3.34893405e-03 -7.99116032e-06 -1.09698198e-07
 -6.12979018e-08  2.72144429e-05]",0.059117,0
"[[188, 210], [247, 213], [206, 217], [227, 218], [217, 218], [229, 208], [192, 218], [253, 207]]",90,0.134886,0.025686,0.029395,"[ 3.19550101e-03 -6.87446654e-04 -4.59032214e-06 -5.49883083e-09
 -1.88660086e-08  1.14100527e-05]",0.065797,0
"[[188, 210], [247, 213], [206, 217], [226, 218], [216, 218], [228, 208], [192, 218], [253, 207]]",91,0.13364,0.025189,0.028948,"[ 3.25414849e-03  1.50952662e-04 -5.27728222e-06  6.23614141e-08
  6.34746570e-10  6.05748691e-06]",0.065941,0
"[[187, 210], [247, 213], [206, 217], [226, 218], [216, 218], [228, 208], [191, 218], [252, 207]]",92,0.135118,0.025453,0.029193,"[ 2.62817567e-03  1.59988233e-03  1.05639833e-05 -7.56707783e-08
  7.98158763e-08 -9.45162687e-06]",0.066367,0
"[[186, 210], [246, 214], [205, 218], [225, 218], [215, 219], [227, 209], [191, 219], [252, 207]]",93,0.133739,0.02312,0.027616,"[ 2.29545376e-03 -2.21424317e-04  4.40311713e-06 -1.25028012e-07
  1.12016733e-08  5.53999634e-06]",0.065899,0
