keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[195, 201], [261, 207], [218, 209], [202, 194], [265, 198], [222, 201], [213, 195], [228, 210], [243, 201], [233, 202], [246, 192], [207, 202], [251, 208], [269, 190], [208, 211], [237, 192], [270, 206], [255, 194], [198, 210], [225, 193]]",44,0.123692,0.023392,0.027989,"[ 4.88949230e-03 -4.47446523e-03 -1.07789163e-05  1.46702359e-07
  9.63421632e-08 -1.69369584e-05]",0.05749,0
"[[195, 202], [260, 209], [217, 210], [202, 194], [263, 198], [221, 201], [212, 195], [227, 210], [242, 202], [232, 202], [245, 192], [206, 203], [251, 209], [268, 191], [207, 212], [235, 193], [268, 207], [254, 193], [197, 210], [224, 194]]",45,0.135459,0.024372,0.028345,"[ 5.26995908e-03 -6.20543738e-03 -1.27993038e-05  5.05534350e-08
  1.92788898e-08  3.62337852e-06]",0.067235,0
"[[194, 202], [259, 209], [215, 210], [201, 195], [263, 199], [221, 202], [212, 196], [225, 211], [241, 202], [231, 203], [245, 193], [205, 203], [249, 209], [268, 192], [206, 213], [235, 194], [268, 208], [254, 195], [197, 211], [224, 194]]",46,0.155032,0.024816,0.028897,"[ 4.84370294e-03 -7.67695406e-03 -3.16569053e-05  2.46847682e-07
 -2.53915141e-08  1.57925292e-05]",0.085985,0
"[[194, 203], [258, 209], [215, 211], [201, 196], [263, 200], [220, 202], [211, 196], [224, 211], [240, 203], [230, 204], [243, 193], [205, 204], [248, 209], [267, 193], [205, 213], [234, 194], [267, 208], [253, 195], [196, 212], [223, 195]]",47,0.115893,0.025053,0.029011,"[ 4.79892658e-03 -6.23815876e-03 -2.86604694e-05  2.67769530e-07
 -1.00123418e-08  6.27268686e-06]",0.047744,0
"[[194, 204], [258, 211], [216, 212], [200, 197], [262, 201], [220, 203], [212, 197], [225, 212], [240, 204], [231, 204], [244, 194], [205, 205], [249, 210], [267, 194], [205, 214], [235, 195], [267, 210], [253, 196], [196, 213], [224, 196]]",48,0.126845,0.026114,0.029953,"[ 5.15091418e-03 -8.10374510e-03 -3.35332793e-05  2.06538761e-07
 -7.53756581e-08  2.61020828e-05]",0.058036,0
"[[193, 205], [258, 211], [215, 213], [200, 197], [263, 203], [219, 204], [211, 198], [225, 213], [240, 205], [230, 205], [243, 195], [204, 206], [248, 211], [266, 194], [205, 215], [234, 196], [267, 210], [253, 197], [195, 213], [223, 196]]",49,0.137546,0.026865,0.031928,"[ 4.57852167e-03 -6.38601520e-03 -2.35489682e-05  1.64833721e-07
  2.94290223e-09  1.05598179e-05]",0.06699,0
"[[192, 206], [258, 212], [214, 214], [199, 198], [261, 202], [218, 205], [210, 199], [224, 214], [239, 206], [229, 206], [242, 195], [203, 207], [248, 212], [266, 195], [204, 216], [233, 196], [266, 211], [251, 197], [194, 214], [222, 197]]",50,0.141236,0.025912,0.029798,"[ 3.55118975e-03 -6.60933164e-03 -2.48248329e-05  1.06243273e-07
 -2.61595569e-08  8.44345216e-06]",0.073274,0
"[[192, 206], [256, 212], [213, 214], [199, 199], [261, 202], [218, 205], [209, 199], [222, 215], [238, 206], [228, 206], [242, 196], [203, 207], [247, 212], [265, 196], [203, 216], [232, 197], [266, 212], [251, 197], [194, 215], [221, 197]]",51,0.126774,0.024378,0.028571,"[ 3.75717069e-03 -7.15322210e-03 -3.19755475e-05  1.83455972e-07
 -5.63325636e-08  1.65887700e-05]",0.058175,0
"[[192, 207], [256, 213], [213, 215], [198, 200], [260, 204], [218, 206], [209, 200], [222, 215], [238, 207], [228, 207], [241, 197], [202, 208], [246, 213], [265, 196], [203, 217], [232, 198], [265, 213], [250, 199], [194, 216], [221, 198]]",52,0.143472,0.02518,0.02952,"[ 4.18675965e-03 -6.05689095e-03 -2.64001919e-05  1.63244954e-07
 -3.61411411e-08  1.37639482e-05]",0.073771,0
"[[192, 208], [256, 214], [213, 216], [198, 200], [259, 205], [217, 207], [209, 201], [222, 216], [237, 208], [227, 208], [240, 198], [202, 209], [245, 214], [264, 197], [203, 218], [231, 198], [264, 213], [249, 199], [194, 217], [220, 199]]",53,0.125477,0.024788,0.02876,"[ 4.72093924e-03 -5.06537701e-03 -1.63821953e-05  4.80808200e-08
 -4.01476641e-08  1.25764530e-05]",0.05742,0
"[[191, 209], [255, 215], [213, 217], [198, 201], [259, 205], [217, 208], [209, 202], [223, 217], [238, 209], [228, 209], [241, 199], [202, 210], [246, 215], [264, 198], [203, 219], [231, 200], [264, 214], [250, 201], [193, 217], [220, 200]]",54,0.125227,0.027062,0.030819,"[ 4.35526252e-03 -4.96839611e-03 -2.28435705e-05  1.42774018e-07
 -2.93501997e-08  1.10349721e-05]",0.056263,0
"[[190, 209], [255, 216], [213, 218], [197, 202], [258, 205], [216, 208], [207, 202], [222, 218], [237, 209], [227, 209], [239, 198], [201, 210], [246, 216], [263, 199], [202, 219], [230, 200], [263, 215], [248, 200], [193, 218], [219, 200]]",55,0.136646,0.027433,0.032102,"[ 4.21539737e-03 -4.65748159e-03 -6.07453293e-06 -9.67727542e-08
 -9.24834214e-09  1.01378445e-05]",0.066526,0
"[[190, 209], [255, 216], [211, 218], [196, 202], [257, 206], [216, 209], [207, 203], [221, 218], [236, 210], [226, 210], [239, 200], [201, 210], [245, 216], [263, 199], [202, 220], [229, 201], [263, 216], [248, 201], [192, 218], [219, 201]]",56,0.133571,0.024298,0.028254,"[ 4.34169046e-03 -3.37420041e-03 -6.39076714e-06  1.86930002e-08
  4.56694908e-08  3.17677158e-06]",0.06651,0
"[[189, 210], [253, 216], [210, 218], [196, 203], [257, 206], [214, 209], [206, 203], [220, 219], [235, 210], [225, 210], [238, 200], [200, 211], [243, 216], [262, 200], [201, 220], [228, 201], [262, 216], [247, 201], [192, 219], [217, 201]]",57,0.134339,0.024435,0.028401,"[ 3.85460108e-03 -3.29256353e-03 -1.13266023e-05  5.80166270e-08
  1.47517046e-08  1.75652085e-06]",0.06647,0
"[[189, 211], [253, 217], [210, 219], [196, 203], [256, 207], [214, 210], [206, 204], [219, 219], [234, 210], [225, 211], [238, 201], [200, 212], [243, 217], [262, 200], [201, 221], [228, 202], [262, 216], [246, 202], [191, 219], [217, 202]]",58,0.135982,0.027452,0.031468,"[ 3.83117225e-03 -2.79574664e-03 -1.28382339e-05  9.45137862e-08
  1.43743838e-08 -2.90477744e-07]",0.066628,0
"[[189, 211], [252, 217], [210, 219], [195, 203], [256, 207], [214, 210], [205, 204], [219, 219], [234, 211], [224, 211], [237, 201], [199, 212], [242, 217], [261, 200], [200, 221], [228, 202], [261, 216], [246, 202], [191, 220], [217, 202]]",59,0.124156,0.025191,0.029185,"[ 3.76322202e-03 -3.72378011e-03 -1.72007355e-05  8.25623102e-08
 -3.32168762e-08  7.96131753e-06]",0.056551,0
"[[188, 211], [251, 218], [210, 220], [195, 204], [255, 207], [214, 211], [206, 204], [219, 220], [233, 211], [224, 212], [237, 201], [199, 212], [241, 218], [261, 201], [200, 222], [227, 202], [260, 216], [246, 203], [191, 220], [216, 202]]",60,0.135603,0.026667,0.03046,"[ 4.38005522e-03 -5.69880104e-03 -2.34590850e-05  3.81561065e-08
 -1.23689332e-07  3.03980439e-05]",0.06669,0
"[[188, 212], [251, 218], [209, 220], [194, 204], [255, 208], [213, 211], [205, 204], [219, 220], [233, 212], [223, 212], [236, 201], [199, 213], [241, 218], [260, 201], [200, 222], [227, 202], [260, 217], [245, 203], [190, 221], [216, 203]]",61,0.139026,0.028872,0.032543,"[ 3.96205463e-03 -4.64297173e-03 -1.60607110e-05 -1.61024443e-08
 -8.42290403e-08  2.04849034e-05]",0.066779,0
"[[187, 212], [251, 219], [210, 221], [194, 205], [255, 209], [213, 212], [205, 206], [219, 221], [234, 213], [224, 213], [237, 203], [199, 213], [242, 219], [260, 202], [200, 223], [227, 204], [260, 218], [246, 205], [190, 221], [216, 204]]",62,0.138605,0.027783,0.03161,"[ 4.17596655e-03 -2.34632312e-03 -8.59268181e-06  5.38435390e-08
  2.24284771e-08  5.59284519e-06]",0.069843,0
"[[187, 212], [251, 220], [210, 221], [194, 205], [254, 209], [212, 212], [204, 206], [219, 222], [233, 213], [223, 213], [235, 203], [198, 214], [242, 220], [259, 203], [199, 223], [226, 204], [260, 218], [244, 204], [189, 222], [215, 204]]",63,0.124773,0.024798,0.028728,"[ 4.18090063e-03 -1.32319839e-03  8.42085822e-06 -1.37828615e-07
  5.96908592e-08 -3.43679499e-07]",0.056606,0
"[[186, 213], [250, 220], [209, 222], [193, 206], [254, 209], [211, 213], [203, 206], [218, 222], [232, 214], [222, 214], [234, 203], [197, 214], [241, 220], [259, 203], [198, 223], [225, 204], [259, 219], [244, 205], [189, 222], [214, 205]]",64,0.140355,0.027184,0.032586,"[ 3.43780744e-03 -6.12150549e-04  6.22525547e-06 -7.32431390e-08
  8.60373314e-08 -8.88523263e-06]",0.067907,0
"[[186, 213], [250, 220], [208, 222], [193, 206], [253, 209], [211, 213], [203, 206], [218, 222], [232, 214], [222, 214], [234, 203], [197, 214], [241, 220], [258, 203], [198, 224], [225, 204], [259, 219], [243, 205], [188, 222], [214, 205]]",65,0.126919,0.025574,0.029517,"[ 3.50258542e-03 -1.49017946e-03  3.90863269e-06 -1.10353734e-07
  4.10359093e-08 -7.52984230e-07]",0.058378,0
"[[185, 213], [249, 220], [207, 222], [192, 206], [253, 209], [210, 213], [202, 207], [216, 222], [231, 214], [221, 214], [233, 203], [196, 214], [240, 220], [258, 203], [197, 224], [224, 204], [258, 219], [243, 205], [188, 222], [213, 205]]",66,0.137541,0.026529,0.031114,"[ 2.78331179e-03 -1.41377572e-03 -1.56551578e-06 -2.86626995e-08
  5.03578685e-08 -4.89170687e-06]",0.068401,0
