keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[205, 191], [268, 196], [225, 197], [246, 198], [236, 199], [249, 189], [210, 199], [272, 188]]",50,0.134508,0.025054,0.028902,"[ 7.65778081e-03 -4.34565080e-03  1.99414536e-05 -1.67023102e-07
  1.80132191e-07 -1.14949032e-05]",0.067072,0
"[[205, 191], [267, 196], [225, 198], [245, 199], [236, 200], [249, 190], [209, 200], [272, 188]]",51,0.134874,0.025263,0.029052,"[ 6.18076138e-03 -1.17572929e-02 -2.45139941e-05 -9.12265510e-08
 -1.20193058e-07  4.36242073e-05]",0.066444,0
"[[204, 192], [267, 196], [224, 199], [244, 199], [234, 200], [247, 190], [208, 200], [271, 189]]",52,0.13456,0.025019,0.028632,"[ 6.41979079e-03 -3.45645752e-03  1.04433181e-05 -1.64970545e-08
  1.78898820e-07 -2.22759045e-05]",0.06644,0
"[[203, 192], [266, 196], [223, 199], [243, 199], [233, 200], [247, 190], [208, 201], [271, 189]]",53,0.126508,0.025012,0.029002,"[ 5.09264910e-03 -7.89700329e-03 -2.35256290e-05  1.38546598e-07
 -6.02458732e-09  7.71151225e-06]",0.057151,0
"[[203, 193], [266, 198], [223, 200], [242, 200], [233, 201], [247, 191], [207, 201], [270, 190]]",54,0.133692,0.023597,0.027419,"[ 5.85240149e-03 -8.97843603e-03 -2.09778980e-05  6.41499842e-08
 -2.07242998e-08  2.54005780e-05]",0.066577,0
"[[203, 194], [265, 198], [223, 201], [243, 201], [233, 202], [247, 192], [207, 202], [269, 190]]",55,0.135235,0.023567,0.027844,"[ 5.60330385e-03 -8.61948914e-03 -1.79300559e-05 -5.31354885e-08
 -7.08648100e-08  2.24838236e-05]",0.0662,0
"[[203, 194], [265, 199], [223, 201], [244, 202], [234, 202], [247, 193], [207, 202], [269, 191]]",56,0.140078,0.025391,0.032393,"[ 7.18254689e-03 -4.81184583e-03  1.68366125e-05 -2.30333820e-07
  1.17204958e-07  2.24617323e-06]",0.067795,0
"[[202, 195], [264, 200], [221, 201], [242, 202], [232, 203], [245, 192], [206, 203], [268, 192]]",57,0.128159,0.023985,0.03085,"[ 6.23463190e-03 -8.38533419e-03 -8.49315180e-06 -1.27183649e-07
 -3.06211018e-08  2.99079972e-05]",0.058439,0
"[[201, 195], [263, 199], [221, 202], [241, 202], [232, 203], [245, 193], [205, 203], [268, 192]]",58,0.136061,0.025611,0.029325,"[ 5.29932605e-03 -7.62947745e-03 -1.97859321e-05  6.60320713e-08
 -2.46637725e-08  1.81470221e-05]",0.066808,0
"[[200, 196], [262, 199], [219, 202], [239, 203], [230, 203], [243, 193], [204, 204], [267, 193]]",59,0.125992,0.024923,0.028741,"[ 4.71174504e-03 -6.24670923e-03 -3.00873583e-05  2.99376376e-07
 -8.41611736e-09  6.49634307e-06]",0.057983,0
