keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[228, 184], [294, 190], [250, 191], [235, 177], [299, 182], [256, 184], [247, 177], [261, 192], [275, 184], [267, 185], [280, 176], [239, 185], [284, 190], [304, 174], [240, 194], [270, 176], [303, 189], [289, 177], [230, 192], [259, 176]]",25,0.133581,0.023747,0.028159,"[ 1.48131828e-02 -9.22950655e-03 -1.91764017e-05  4.18958579e-07
  1.43602192e-07 -1.38010022e-05]",0.067773,0
"[[227, 184], [293, 191], [250, 191], [234, 178], [297, 182], [255, 185], [246, 179], [260, 192], [274, 185], [266, 186], [279, 177], [239, 186], [284, 191], [302, 174], [240, 194], [269, 177], [302, 190], [288, 178], [229, 192], [258, 177]]",26,0.138415,0.025092,0.029162,"[ 1.65066325e-02 -5.06625221e-03  5.65843064e-06  3.61593786e-07
  2.70092616e-07 -3.63010953e-05]",0.067294,0
"[[226, 185], [293, 192], [249, 193], [233, 179], [296, 184], [255, 185], [245, 179], [260, 194], [274, 186], [265, 187], [278, 178], [238, 187], [284, 192], [301, 175], [239, 195], [269, 178], [301, 191], [287, 179], [228, 194], [258, 179]]",27,0.127274,0.025475,0.029591,"[ 1.52635786e-02 -7.22799280e-03 -3.51261890e-06  2.86794031e-07
  1.93119719e-07 -2.11045788e-05]",0.057049,0
"[[224, 187], [291, 193], [246, 193], [231, 179], [295, 184], [252, 187], [243, 180], [257, 194], [272, 187], [263, 188], [276, 178], [236, 187], [282, 192], [300, 176], [237, 196], [266, 179], [300, 192], [285, 179], [227, 194], [255, 179]]",28,0.135931,0.024595,0.028743,"[ 1.46504984e-02 -5.04599187e-03  5.35657491e-06  3.04361830e-07
  2.75881637e-07 -3.85836439e-05]",0.067721,0
"[[224, 187], [290, 194], [245, 194], [231, 180], [294, 186], [252, 187], [242, 181], [256, 195], [270, 187], [262, 189], [275, 179], [235, 188], [280, 193], [299, 177], [236, 197], [265, 180], [299, 193], [284, 181], [226, 196], [254, 180]]",29,0.138109,0.023357,0.030721,"[ 1.48824401e-02 -6.06078028e-03  1.60175360e-07  3.12733866e-07
  2.29899659e-07 -2.41992471e-05]",0.067256,0
"[[222, 188], [288, 194], [244, 195], [229, 181], [292, 186], [250, 188], [241, 181], [255, 196], [269, 188], [261, 189], [274, 180], [233, 189], [278, 194], [297, 177], [234, 198], [264, 180], [297, 193], [283, 181], [224, 196], [253, 180]]",30,0.129907,0.026307,0.033994,"[ 1.28652475e-02 -8.71414373e-03 -2.13270013e-05  3.64044160e-07
  1.06068144e-07 -9.98811410e-06]",0.057444,0
"[[221, 189], [287, 195], [244, 196], [228, 182], [291, 187], [249, 189], [240, 183], [254, 197], [269, 189], [260, 190], [273, 181], [233, 190], [278, 195], [296, 178], [234, 199], [263, 181], [296, 194], [282, 182], [223, 197], [252, 181]]",31,0.140259,0.026874,0.033831,"[ 1.31358656e-02 -6.59165052e-03 -1.04075234e-05  3.20017986e-07
  1.58958092e-07 -2.26099894e-05]",0.067752,0
"[[220, 189], [286, 196], [242, 197], [227, 183], [291, 188], [248, 190], [238, 183], [253, 198], [268, 190], [259, 191], [271, 181], [232, 191], [277, 196], [295, 180], [232, 200], [262, 182], [295, 195], [281, 183], [222, 198], [251, 182]]",32,0.127758,0.024794,0.028856,"[ 1.27691974e-02 -7.09920510e-03 -1.05551729e-05  3.03340347e-07
  1.66141174e-07 -1.62652196e-05]",0.058361,0
"[[219, 191], [285, 197], [240, 198], [226, 184], [289, 189], [246, 191], [237, 184], [251, 198], [266, 191], [257, 192], [270, 183], [230, 192], [275, 197], [294, 180], [231, 201], [260, 183], [294, 196], [279, 184], [221, 199], [249, 183]]",33,0.134588,0.026506,0.030737,"[ 1.24697513e-02 -5.17755605e-03 -6.10608342e-06  3.34861040e-07
  2.04915406e-07 -2.93407905e-05]",0.057947,0
"[[218, 191], [283, 198], [239, 199], [225, 184], [288, 189], [245, 191], [236, 185], [249, 199], [264, 191], [256, 192], [269, 182], [229, 192], [273, 198], [292, 181], [230, 201], [259, 183], [292, 197], [278, 184], [220, 200], [248, 184]]",34,0.124865,0.025148,0.029217,"[ 1.19593071e-02 -8.93932822e-03 -2.33389183e-05  3.11096945e-07
  6.05655900e-08  2.81108828e-06]",0.05789,0
