keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[211, 181], [279, 187], [235, 188], [219, 174], [283, 180], [240, 182], [230, 176], [245, 189], [260, 181], [251, 183], [264, 174], [224, 182], [270, 187], [288, 171], [225, 191], [255, 174], [287, 186], [273, 175], [214, 189], [243, 174]]",25,0.136957,0.027867,0.031569,"[ 1.12697188e-02 -5.33852941e-03  5.78016874e-06  4.24199803e-07
  3.37126296e-07 -4.94851052e-05]",0.06697,0
"[[211, 181], [278, 187], [234, 188], [219, 174], [283, 180], [240, 182], [230, 176], [245, 189], [260, 181], [250, 183], [263, 174], [223, 182], [269, 187], [287, 171], [224, 191], [254, 174], [287, 186], [273, 175], [214, 189], [243, 174]]",26,0.127118,0.024955,0.029193,"[ 1.12731022e-02 -5.59498678e-03  3.67326820e-06  4.40228979e-07
  3.22255502e-07 -4.63729579e-05]",0.058762,0
"[[210, 181], [278, 188], [234, 189], [218, 175], [283, 181], [239, 182], [229, 176], [244, 190], [259, 182], [250, 183], [263, 174], [223, 183], [269, 188], [287, 171], [223, 192], [254, 175], [287, 187], [273, 176], [213, 190], [242, 175]]",27,0.139443,0.026379,0.03054,"[ 1.00375814e-02 -7.14606671e-03 -2.01136528e-06  3.82408629e-07
  2.89258107e-07 -3.78835590e-05]",0.068107,0
"[[210, 182], [277, 188], [233, 189], [217, 175], [281, 180], [238, 182], [228, 176], [244, 190], [258, 182], [249, 184], [262, 174], [222, 183], [268, 188], [286, 172], [222, 192], [252, 174], [286, 187], [271, 175], [212, 190], [241, 175]]",28,0.12508,0.024511,0.028498,"[ 1.00302083e-02 -6.12969618e-03  3.58732032e-06  3.39549311e-07
  2.98117133e-07 -4.51291318e-05]",0.057149,0
"[[209, 183], [277, 189], [232, 190], [217, 176], [281, 181], [238, 183], [228, 177], [243, 190], [258, 183], [249, 184], [261, 175], [221, 184], [268, 188], [285, 172], [222, 193], [252, 175], [285, 188], [271, 176], [212, 191], [241, 176]]",29,0.13544,0.02369,0.028361,"[ 9.56559216e-03 -5.83046670e-03 -5.29454402e-07  3.81843451e-07
  2.84989892e-07 -4.80703689e-05]",0.06731,0
"[[208, 183], [276, 189], [231, 190], [216, 176], [280, 181], [237, 183], [227, 177], [242, 191], [257, 183], [248, 184], [260, 175], [220, 184], [266, 189], [284, 172], [221, 193], [251, 175], [284, 188], [270, 176], [211, 191], [240, 176]]",30,0.13949,0.028308,0.035679,"[ 9.10555881e-03 -7.19338425e-03 -5.67676143e-06  3.53202891e-07
  2.36671018e-07 -3.68364597e-05]",0.06686,0
"[[208, 183], [275, 189], [230, 190], [216, 176], [279, 180], [237, 183], [226, 177], [241, 191], [256, 183], [247, 185], [260, 175], [220, 184], [265, 189], [284, 173], [221, 193], [251, 175], [284, 188], [269, 176], [211, 192], [239, 176]]",31,0.134514,0.026447,0.030204,"[ 9.03449262e-03 -7.37972858e-03 -1.00643182e-05  3.92185232e-07
  2.08541904e-07 -3.44940238e-05]",0.063599,0
"[[207, 184], [274, 190], [230, 191], [215, 177], [279, 182], [236, 184], [226, 178], [240, 192], [255, 183], [246, 185], [259, 176], [219, 185], [264, 189], [284, 173], [220, 194], [250, 176], [283, 189], [269, 177], [210, 192], [238, 176]]",32,0.13726,0.025397,0.032758,"[ 8.42662170e-03 -7.80205111e-03 -1.59847681e-05  4.39776375e-07
  1.94831747e-07 -3.14311030e-05]",0.064448,0
"[[207, 184], [273, 190], [230, 191], [214, 177], [278, 182], [235, 184], [225, 178], [239, 192], [254, 184], [245, 185], [258, 175], [219, 185], [264, 190], [283, 174], [219, 194], [249, 176], [283, 189], [268, 177], [209, 193], [238, 177]]",33,0.126072,0.026003,0.029971,"[ 8.46644059e-03 -7.51298667e-03 -1.18463864e-05  3.94571487e-07
  2.04111486e-07 -3.19285458e-05]",0.057176,0
"[[207, 184], [273, 191], [230, 192], [214, 178], [278, 183], [235, 185], [225, 179], [240, 193], [254, 184], [246, 186], [259, 176], [219, 186], [264, 190], [283, 174], [220, 195], [249, 177], [282, 190], [268, 178], [209, 193], [238, 177]]",34,0.125959,0.02518,0.029146,"[ 8.62561591e-03 -8.00582440e-03 -1.30584316e-05  3.55204441e-07
  1.73327119e-07 -2.49689159e-05]",0.057027,0
"[[206, 184], [273, 191], [229, 192], [214, 178], [277, 182], [235, 185], [225, 179], [240, 193], [254, 185], [245, 186], [258, 176], [218, 186], [264, 191], [282, 175], [219, 195], [249, 177], [282, 190], [267, 178], [209, 193], [237, 178]]",35,0.137113,0.026044,0.030551,"[ 8.96721130e-03 -6.53169912e-03 -3.61875250e-06  3.35858022e-07
  2.33636749e-07 -3.43883606e-05]",0.067688,0
"[[206, 185], [273, 192], [229, 193], [213, 179], [277, 184], [234, 185], [224, 179], [239, 194], [254, 186], [245, 187], [258, 178], [218, 187], [263, 192], [281, 175], [219, 196], [248, 178], [281, 191], [267, 179], [208, 194], [237, 178]]",36,0.137756,0.028907,0.032616,"[ 8.76262917e-03 -7.73384167e-03 -5.86630459e-06  2.65975124e-07
  1.93629291e-07 -2.19519598e-05]",0.067779,0
"[[205, 186], [272, 193], [227, 193], [212, 179], [276, 184], [233, 186], [223, 180], [238, 194], [253, 186], [243, 187], [256, 178], [216, 187], [262, 192], [280, 175], [217, 196], [247, 178], [280, 191], [266, 179], [207, 194], [236, 179]]",37,0.141235,0.027038,0.03416,"[ 8.08607898e-03 -6.77685801e-03 -6.23321299e-06  3.28351885e-07
  2.23845588e-07 -3.19604309e-05]",0.064155,0
"[[205, 187], [272, 193], [227, 194], [212, 180], [276, 184], [233, 187], [223, 181], [237, 195], [252, 187], [243, 188], [256, 178], [216, 188], [262, 193], [280, 176], [217, 197], [247, 179], [280, 192], [266, 179], [207, 195], [236, 179]]",38,0.126224,0.025924,0.029897,"[ 7.26902017e-03 -7.64108014e-03 -1.64643762e-05  3.54865929e-07
  1.60493035e-07 -2.77986502e-05]",0.05845,0
"[[204, 187], [271, 193], [226, 194], [211, 180], [275, 184], [232, 187], [222, 181], [236, 195], [251, 187], [243, 188], [255, 179], [215, 188], [261, 193], [280, 176], [216, 197], [246, 179], [280, 192], [265, 180], [207, 195], [235, 180]]",39,0.126667,0.026415,0.030586,"[ 7.51304403e-03 -5.18513906e-03 -5.23053025e-06  3.92500139e-07
  2.62632524e-07 -4.58303208e-05]",0.057707,0
"[[204, 187], [270, 193], [225, 195], [211, 180], [275, 185], [231, 187], [222, 181], [235, 195], [251, 187], [242, 188], [255, 179], [215, 189], [260, 193], [279, 177], [216, 198], [246, 179], [279, 192], [265, 180], [206, 196], [234, 180]]",40,0.135835,0.02347,0.028001,"[ 6.79333803e-03 -8.27401664e-03 -2.55071269e-05  4.41246983e-07
  1.26308327e-07 -2.18947956e-05]",0.067547,1
"[[203, 188], [269, 194], [225, 195], [210, 181], [274, 185], [230, 187], [221, 181], [235, 196], [250, 187], [241, 189], [254, 179], [214, 189], [259, 193], [279, 177], [215, 198], [245, 180], [279, 193], [264, 180], [206, 196], [233, 180]]",41,0.134999,0.02569,0.029574,"[ 6.71445790e-03 -6.93056142e-03 -1.48552894e-05  3.69103577e-07
  1.81257908e-07 -3.19382610e-05]",0.066626,0
"[[203, 188], [269, 194], [226, 196], [210, 181], [274, 186], [231, 188], [221, 182], [235, 196], [250, 188], [241, 189], [255, 179], [214, 189], [260, 194], [279, 178], [215, 198], [245, 180], [279, 194], [264, 181], [205, 197], [234, 181]]",42,0.136575,0.02748,0.031423,"[ 6.76683445e-03 -8.20831533e-03 -2.08072130e-05  3.82246920e-07
  1.49071879e-07 -1.93194942e-05]",0.068769,0
"[[203, 188], [270, 195], [226, 196], [210, 182], [274, 187], [231, 188], [222, 182], [236, 197], [251, 189], [242, 190], [255, 180], [215, 190], [260, 195], [278, 178], [216, 199], [246, 181], [278, 194], [264, 182], [205, 197], [234, 181]]",43,0.124977,0.024307,0.028366,"[ 7.48318255e-03 -8.59287157e-03 -1.73077097e-05  2.94423881e-07
  1.23562114e-07 -1.01207089e-05]",0.057882,0
"[[203, 188], [269, 196], [226, 197], [210, 182], [273, 187], [231, 189], [221, 183], [236, 197], [250, 189], [241, 190], [254, 181], [214, 190], [260, 195], [278, 179], [215, 199], [245, 181], [278, 195], [263, 182], [205, 197], [233, 182]]",44,0.136904,0.025436,0.02941,"[ 8.32556678e-03 -6.31785858e-03 -1.94804538e-06  2.58038167e-07
  2.14711967e-07 -2.21089830e-05]",0.066764,0
"[[202, 189], [268, 196], [225, 197], [209, 183], [273, 187], [230, 189], [221, 183], [235, 198], [250, 190], [241, 191], [254, 181], [214, 191], [259, 196], [277, 179], [214, 200], [244, 182], [277, 195], [263, 182], [204, 198], [233, 182]]",45,0.137944,0.025205,0.029668,"[ 6.72062325e-03 -9.07319219e-03 -2.46405271e-05  3.23144168e-07
  8.08226051e-08 -6.76022240e-06]",0.06859,0
"[[201, 190], [268, 197], [224, 198], [208, 183], [272, 188], [229, 190], [219, 184], [234, 198], [249, 190], [240, 191], [253, 181], [213, 191], [258, 197], [276, 180], [213, 200], [243, 182], [276, 196], [262, 183], [204, 199], [232, 182]]",46,0.12496,0.023837,0.027812,"[ 6.81195652e-03 -8.51147939e-03 -1.49787420e-05  2.27246169e-07
  1.18371346e-07 -7.81302100e-06]",0.056829,0
"[[201, 191], [267, 197], [222, 198], [208, 184], [272, 188], [228, 190], [219, 184], [232, 199], [248, 190], [239, 192], [252, 182], [212, 192], [257, 196], [276, 180], [213, 201], [242, 182], [276, 196], [262, 183], [203, 199], [231, 183]]",47,0.139852,0.027694,0.031377,"[ 5.77822816e-03 -7.75355781e-03 -2.43768747e-05  3.76632497e-07
  1.15036029e-07 -1.94027161e-05]",0.066986,0
"[[201, 191], [267, 197], [223, 199], [208, 184], [271, 188], [229, 191], [219, 185], [233, 199], [248, 191], [239, 192], [252, 182], [212, 192], [257, 197], [276, 181], [213, 201], [243, 183], [276, 196], [261, 183], [203, 200], [232, 183]]",48,0.125141,0.025839,0.029647,"[ 6.09565809e-03 -8.09142290e-03 -2.66491668e-05  3.66031418e-07
  7.78526185e-08 -1.35739461e-05]",0.056963,0
"[[201, 191], [266, 198], [222, 199], [208, 185], [271, 189], [228, 191], [219, 185], [232, 200], [247, 191], [238, 192], [251, 182], [212, 193], [256, 197], [276, 181], [212, 202], [242, 183], [276, 197], [261, 183], [203, 200], [230, 184]]",49,0.136016,0.024784,0.028919,"[ 5.93900473e-03 -8.50950774e-03 -2.70610677e-05  3.37086005e-07
  6.46386324e-08 -8.89165248e-06]",0.066966,0
