keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[222, 167], [287, 179], [244, 181], [262, 168], [255, 181], [268, 178], [227, 175], [290, 164]]",37,0.123541,0.022516,0.027216,"[-9.81489603e-04 -5.26656985e-02 -1.27336554e-04 -1.64291843e-06
 -1.25722576e-06  2.87752563e-04]",0.056559,0
"[[222, 167], [287, 180], [244, 181], [262, 168], [255, 181], [268, 178], [227, 176], [291, 164]]",38,0.133422,0.023567,0.027399,"[-1.86739130e-03 -5.39828588e-02 -1.40004921e-04 -1.54587887e-06
 -1.29496540e-06  2.94242648e-04]",0.066925,0
"[[222, 167], [288, 180], [244, 181], [262, 168], [255, 181], [268, 178], [227, 176], [291, 164]]",39,0.135059,0.024533,0.028342,"[-1.58440117e-03 -5.23421368e-02 -1.28205328e-04 -1.59083414e-06
 -1.21742001e-06  2.80902274e-04]",0.067321,0
"[[222, 167], [288, 180], [244, 182], [263, 168], [255, 182], [268, 178], [227, 176], [291, 164]]",40,0.13388,0.024399,0.028137,"[-2.59064567e-03 -5.44195424e-02 -1.44814226e-04 -1.52444797e-06
 -1.30551941e-06  2.93490086e-04]",0.066808,0
"[[223, 167], [288, 180], [244, 182], [263, 168], [255, 182], [268, 179], [227, 176], [291, 164]]",41,0.13531,0.024611,0.028529,"[-3.01829283e-03 -5.70434048e-02 -1.58788324e-04 -1.52436858e-06
 -1.41112336e-06  3.14476303e-04]",0.067211,0
"[[223, 167], [288, 180], [245, 182], [263, 168], [255, 182], [268, 178], [228, 176], [291, 164]]",42,0.136585,0.023427,0.027817,"[-1.65629389e-03 -5.45658376e-02 -1.43636227e-04 -1.55022112e-06
 -1.33356365e-06  2.99899508e-04]",0.066847,0
"[[224, 168], [288, 180], [245, 182], [264, 168], [256, 182], [268, 179], [228, 176], [291, 164]]",43,0.124235,0.022509,0.027095,"[-2.76552777e-03 -5.82619122e-02 -1.65664318e-04 -1.55058867e-06
 -1.49372608e-06  3.25981017e-04]",0.057051,0
"[[224, 168], [288, 180], [245, 182], [264, 168], [256, 182], [268, 179], [228, 176], [291, 164]]",44,0.134018,0.023646,0.027581,"[-2.76552777e-03 -5.82619122e-02 -1.65664318e-04 -1.55058867e-06
 -1.49372608e-06  3.25981017e-04]",0.066905,0
"[[224, 168], [288, 181], [245, 182], [264, 168], [256, 182], [268, 179], [228, 176], [291, 164]]",45,0.134528,0.024734,0.028543,"[-2.75911152e-03 -5.87819501e-02 -1.66877699e-04 -1.56773162e-06
 -1.50905155e-06  3.30842492e-04]",0.066693,0
"[[224, 168], [288, 181], [245, 182], [264, 169], [256, 182], [268, 179], [228, 176], [291, 165]]",46,0.135437,0.024428,0.028316,"[-1.48297243e-03 -5.62652957e-02 -1.52931997e-04 -1.53665711e-06
 -1.40846210e-06  3.16276287e-04]",0.067214,0
