keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[188, 206], [253, 212], [210, 214], [195, 199], [257, 202], [215, 206], [206, 199], [220, 214], [235, 206], [225, 207], [239, 197], [200, 207], [244, 212], [262, 196], [200, 216], [229, 197], [262, 212], [247, 198], [191, 215], [218, 198]]",33,0.118991,0.024649,0.032048,"[ 3.22865554e-03 -4.70698341e-03 -2.22939702e-05  2.12689805e-07
  2.34227958e-08 -2.66115483e-07]",0.046871,0
"[[188, 207], [253, 213], [209, 215], [195, 199], [257, 203], [214, 206], [205, 200], [218, 215], [234, 206], [224, 207], [238, 197], [199, 208], [243, 213], [261, 196], [200, 217], [228, 198], [262, 212], [247, 198], [190, 216], [217, 198]]",34,0.127384,0.026482,0.030523,"[ 2.41958086e-03 -5.57100601e-03 -2.51701545e-05  1.55569255e-07
 -1.51144066e-08  3.43748072e-06]",0.057129,0
"[[188, 208], [252, 213], [209, 216], [194, 200], [256, 203], [213, 207], [205, 201], [218, 216], [233, 207], [223, 208], [237, 197], [198, 209], [241, 214], [261, 197], [199, 218], [228, 198], [261, 212], [246, 198], [190, 217], [216, 199]]",35,0.136704,0.026588,0.030821,"[ 1.89225569e-03 -6.21010084e-03 -3.46790327e-05  1.83202725e-07
 -9.32120135e-08  7.66689484e-06]",0.067404,0
"[[188, 208], [252, 215], [210, 216], [195, 201], [256, 205], [214, 208], [206, 201], [219, 216], [234, 208], [225, 209], [238, 199], [199, 209], [242, 215], [260, 197], [200, 218], [228, 199], [261, 214], [247, 201], [190, 217], [217, 200]]",36,0.137661,0.026156,0.033244,"[ 4.20135323e-03 -5.37906467e-03 -2.06601623e-05  1.20949257e-07
 -3.42949711e-08  1.91041008e-05]",0.066824,0
"[[187, 209], [252, 215], [209, 217], [194, 201], [255, 205], [213, 208], [205, 202], [219, 217], [234, 209], [224, 209], [237, 198], [198, 210], [242, 215], [260, 198], [199, 219], [227, 199], [260, 214], [246, 200], [189, 217], [216, 200]]",37,0.126405,0.024425,0.028684,"[ 2.86513762e-03 -5.94042014e-03 -2.40802753e-05  7.91880044e-08
 -6.18352199e-08  1.57917321e-05]",0.056457,0
"[[187, 209], [252, 216], [209, 218], [194, 202], [256, 206], [212, 209], [204, 202], [219, 218], [234, 209], [223, 210], [236, 199], [198, 210], [242, 216], [260, 199], [199, 220], [227, 200], [260, 215], [246, 201], [189, 218], [216, 201]]",38,0.144914,0.025768,0.033112,"[ 2.97281929e-03 -4.94608028e-03 -1.47209362e-05  2.05896330e-08
 -5.32134508e-09  1.06776604e-05]",0.071933,0
"[[187, 210], [251, 216], [208, 218], [194, 202], [254, 206], [213, 210], [204, 203], [218, 218], [233, 210], [223, 211], [236, 200], [198, 211], [241, 216], [260, 199], [199, 220], [226, 201], [260, 216], [245, 202], [189, 219], [215, 202]]",39,0.124821,0.024739,0.028726,"[ 3.32399113e-03 -3.48916928e-03 -1.38542155e-05  8.05417900e-08
  2.79647125e-09  3.86640295e-06]",0.057445,0
"[[186, 211], [250, 217], [207, 218], [193, 203], [253, 206], [212, 210], [203, 203], [216, 219], [231, 210], [222, 211], [234, 200], [197, 211], [240, 217], [259, 200], [198, 221], [225, 201], [259, 216], [244, 201], [189, 219], [214, 202]]",40,0.129253,0.026437,0.030442,"[ 3.11845252e-03 -3.87957025e-03 -1.19791264e-05  7.45651004e-09
 -2.46119631e-08  8.50768569e-06]",0.05795,0
"[[186, 211], [249, 217], [207, 219], [193, 203], [254, 207], [212, 210], [203, 204], [216, 219], [231, 210], [222, 211], [235, 201], [197, 212], [239, 217], [259, 201], [198, 221], [225, 202], [259, 216], [244, 202], [189, 220], [214, 202]]",41,0.14386,0.027669,0.031488,"[ 3.21465032e-03 -3.88739556e-03 -2.07151690e-05  1.37342143e-07
 -3.46268715e-08  1.03472513e-05]",0.073467,0
"[[186, 211], [250, 218], [207, 220], [193, 204], [254, 208], [212, 211], [203, 204], [217, 220], [232, 212], [222, 212], [235, 202], [197, 212], [240, 218], [258, 201], [198, 222], [226, 202], [259, 217], [244, 203], [188, 220], [215, 203]]",42,0.122083,0.023678,0.027628,"[ 3.52554519e-03 -4.99012567e-03 -1.86146189e-05  4.44665574e-08
 -5.37057522e-08  2.28575629e-05]",0.057764,0
"[[185, 212], [249, 218], [207, 220], [192, 204], [253, 208], [211, 211], [202, 205], [216, 220], [231, 212], [221, 212], [234, 202], [196, 213], [240, 218], [258, 201], [197, 222], [225, 203], [258, 217], [243, 203], [188, 221], [214, 203]]",43,0.141104,0.025608,0.029753,"[ 2.61108351e-03 -3.19818898e-03 -1.54075381e-05  7.11245999e-08
 -1.37136453e-08  3.72866089e-06]",0.073518,0
"[[185, 213], [249, 219], [207, 221], [192, 205], [253, 209], [211, 212], [202, 206], [217, 221], [231, 213], [221, 213], [234, 203], [196, 214], [239, 219], [258, 202], [197, 223], [225, 204], [258, 218], [243, 205], [188, 221], [213, 204]]",44,0.125891,0.025422,0.029351,"[ 2.96688761e-03 -1.43759514e-03 -7.38281958e-06  7.34445616e-08
  4.74377441e-08 -5.21632724e-06]",0.059342,0
"[[185, 213], [249, 219], [207, 221], [192, 205], [252, 209], [211, 212], [202, 206], [217, 221], [231, 213], [221, 213], [234, 203], [196, 214], [240, 220], [257, 202], [197, 223], [225, 204], [258, 218], [243, 204], [187, 221], [213, 204]]",45,0.14509,0.024302,0.028216,"[ 3.03257104e-03 -2.18856427e-03 -6.11281002e-06 -6.24465116e-11
  1.93967165e-08  1.49393725e-06]",0.079396,0
"[[184, 213], [248, 219], [206, 221], [191, 205], [252, 209], [209, 212], [201, 206], [216, 221], [230, 213], [220, 213], [233, 203], [195, 214], [239, 220], [257, 202], [196, 223], [224, 204], [257, 218], [242, 204], [187, 221], [213, 204]]",46,0.127877,0.024009,0.030395,"[ 2.57892399e-03 -2.36582795e-03 -9.34335171e-06  3.79947776e-08
  2.00338268e-08  1.29497706e-06]",0.056718,0
"[[184, 213], [248, 220], [206, 222], [191, 206], [251, 209], [209, 213], [201, 206], [216, 222], [230, 214], [220, 214], [233, 204], [195, 214], [238, 220], [257, 203], [196, 224], [223, 204], [257, 219], [242, 205], [186, 222], [212, 205]]",47,0.140149,0.025383,0.029266,"[ 2.74165026e-03 -2.59742890e-03 -7.55347192e-06 -8.83943346e-09
  9.34903934e-09  6.53759116e-06]",0.069851,0
"[[184, 213], [248, 220], [205, 222], [191, 206], [251, 209], [209, 213], [201, 207], [215, 222], [230, 214], [220, 214], [232, 204], [195, 214], [239, 220], [256, 203], [195, 224], [223, 204], [257, 219], [241, 205], [186, 222], [212, 205]]",48,0.1299,0.024917,0.029163,"[ 2.61898426e-03 -1.73056095e-03 -4.00210671e-06 -1.02483485e-08
  3.47877584e-08 -6.55388477e-07]",0.059873,0
"[[184, 214], [247, 220], [205, 222], [190, 206], [250, 210], [209, 213], [200, 207], [214, 222], [229, 214], [219, 214], [231, 204], [194, 215], [238, 220], [256, 203], [195, 224], [222, 205], [256, 219], [241, 205], [186, 222], [212, 205]]",49,0.122571,0.024124,0.028361,"[ 2.62052149e-03 -7.88832981e-04 -3.31777798e-06  2.92930777e-08
  4.61777949e-08 -6.36153599e-06]",0.056462,0
"[[183, 214], [247, 220], [204, 222], [190, 207], [251, 211], [209, 214], [200, 207], [214, 222], [229, 214], [219, 215], [232, 205], [194, 215], [237, 220], [256, 204], [195, 224], [222, 205], [256, 220], [242, 207], [186, 223], [212, 206]]",50,0.137349,0.025951,0.029983,"[ 2.54859970e-03 -7.12497195e-04 -1.09821925e-05  1.74026898e-07
  7.34645915e-08 -6.19495374e-06]",0.069088,0
"[[183, 214], [246, 220], [204, 222], [190, 207], [250, 210], [209, 214], [200, 207], [214, 223], [228, 214], [219, 215], [231, 204], [194, 215], [237, 221], [256, 204], [195, 224], [222, 205], [255, 219], [240, 206], [186, 223], [211, 206]]",51,0.136972,0.025637,0.029875,"[ 2.82092803e-03 -1.25004880e-03 -8.96079123e-06  7.03733158e-08
  8.08055482e-09  7.83145662e-07]",0.067782,0
