keypoints,iteration_number,delta_loop,delta_interference,delta_extract_featurepoints,dp,delta_camera,lin_factor
"[[206, 191], [269, 195], [226, 198], [247, 198], [237, 199], [250, 189], [210, 199], [273, 187]]",49,0.13418,0.024076,0.027898,"[ 6.05095805e-03 -6.36480105e-03  3.36751854e-06 -1.49366299e-07
  8.28306968e-08 -7.52633553e-06]",0.066591,0
"[[205, 191], [268, 196], [225, 198], [246, 198], [236, 199], [249, 189], [209, 199], [272, 188]]",50,0.142314,0.025053,0.028853,"[ 6.64879771e-03 -6.98639645e-03  3.90975016e-06 -1.39239901e-07
  8.75679428e-08  4.56845072e-06]",0.073622,0
"[[205, 192], [267, 196], [225, 199], [244, 199], [235, 200], [248, 190], [209, 200], [272, 188]]",51,0.134408,0.025123,0.028994,"[ 6.01140120e-03 -8.19892966e-03 -1.84951373e-05  3.39644619e-08
 -3.22789521e-08  1.34057049e-05]",0.063217,0
"[[204, 192], [267, 197], [223, 199], [243, 199], [234, 200], [247, 190], [208, 201], [271, 189]]",52,0.125916,0.024538,0.028488,"[ 5.74603813e-03 -7.90900611e-03 -1.28761096e-05  4.98334012e-09
  1.84771749e-08  1.19942819e-05]",0.057655,0
"[[204, 193], [266, 197], [223, 200], [243, 200], [234, 201], [247, 190], [208, 201], [271, 189]]",53,0.125747,0.025283,0.029283,"[ 5.05666108e-03 -1.11186249e-02 -3.45788253e-05  3.38046400e-08
 -1.45665286e-07  3.57562447e-05]",0.056792,0
"[[203, 193], [266, 199], [223, 201], [243, 201], [234, 202], [248, 192], [207, 202], [270, 190]]",54,0.134814,0.023867,0.027943,"[ 5.15947775e-03 -1.38062984e-02 -3.18982338e-05 -1.58750949e-07
 -1.83381267e-07  6.22647295e-05]",0.06656,0
"[[203, 194], [266, 199], [223, 201], [244, 201], [234, 202], [247, 192], [207, 202], [269, 191]]",55,0.132866,0.02333,0.027257,"[ 6.59264092e-03 -4.65870397e-03  1.74165761e-05 -2.40713214e-07
  1.32695449e-07 -4.09013525e-06]",0.066352,0
"[[202, 195], [264, 199], [223, 201], [244, 202], [233, 203], [247, 193], [207, 203], [269, 191]]",56,0.133686,0.023854,0.027588,"[ 5.65303256e-03 -7.00547076e-03 -6.04798109e-06 -1.26234590e-07
 -5.23928426e-09  1.14964767e-05]",0.067144,0
"[[201, 195], [264, 200], [221, 202], [241, 202], [232, 203], [245, 193], [206, 203], [268, 192]]",57,0.135211,0.024668,0.028499,"[ 6.09372933e-03 -4.64656317e-03  8.41004718e-06 -1.16616458e-07
  1.13791801e-07 -1.49386734e-06]",0.068206,0
"[[201, 196], [263, 199], [221, 202], [241, 203], [231, 204], [244, 193], [205, 204], [268, 192]]",58,0.14034,0.024233,0.027916,"[ 4.48386949e-03 -7.20831211e-03 -2.01649101e-05  2.67157414e-08
 -4.49647559e-08  1.03637787e-05]",0.070709,0
"[[200, 196], [262, 200], [219, 203], [239, 203], [230, 204], [243, 194], [204, 205], [267, 193]]",59,0.125673,0.024656,0.028409,"[ 4.45461087e-03 -8.05686787e-03 -3.13860387e-05  1.61826757e-07
 -7.31298508e-08  2.12936071e-05]",0.056971,0
"[[200, 197], [262, 200], [219, 203], [240, 204], [230, 204], [243, 194], [204, 205], [267, 193]]",60,0.134831,0.023709,0.028116,"[ 4.17288687e-03 -5.43215757e-03 -1.95783996e-05  1.36643659e-07
  1.00645389e-08 -2.46428356e-06]",0.06643,0
"[[199, 197], [262, 202], [219, 204], [239, 205], [230, 205], [243, 195], [204, 206], [266, 194]]",61,0.135692,0.023782,0.03069,"[ 4.89360638e-03 -7.29818914e-03 -7.31983264e-06 -1.44960611e-07
 -1.55008856e-08  2.14903900e-05]",0.066919,0
"[[199, 198], [261, 202], [218, 205], [239, 206], [229, 206], [242, 196], [203, 206], [265, 195]]",62,0.124504,0.024938,0.028814,"[ 5.22925634e-03 -4.80446541e-03 -8.79412309e-07 -7.47203985e-08
  4.83788759e-08  6.40716689e-06]",0.056258,0
"[[198, 198], [260, 201], [218, 205], [238, 205], [228, 206], [241, 195], [203, 207], [265, 195]]",63,0.137886,0.024928,0.028721,"[ 3.98870925e-03 -5.94564222e-03 -1.64273745e-05  1.96420676e-09
 -4.11826887e-08  7.53264056e-06]",0.066632,0
"[[198, 199], [259, 203], [217, 206], [237, 206], [227, 207], [240, 196], [202, 207], [264, 196]]",64,0.133946,0.024297,0.027989,"[ 5.03299034e-03 -6.97718381e-03 -1.96702475e-05  2.19795130e-08
 -7.64158488e-08  2.79123738e-05]",0.066462,0
"[[198, 200], [259, 203], [217, 206], [236, 206], [227, 207], [240, 197], [202, 208], [264, 196]]",65,0.137075,0.022895,0.02752,"[ 4.46223808e-03 -3.61613093e-03 -2.50602397e-05  2.81763110e-07
 -1.22192261e-08 -3.09083581e-06]",0.066428,0
"[[197, 200], [258, 203], [216, 207], [236, 207], [226, 208], [239, 197], [201, 209], [263, 197]]",66,0.124917,0.023591,0.027364,"[ 3.89654964e-03 -7.48912133e-03 -3.22164360e-05  9.20987012e-08
 -1.43640084e-07  2.81147634e-05]",0.056773,0
"[[197, 200], [258, 205], [216, 207], [236, 208], [227, 208], [240, 198], [201, 209], [263, 197]]",67,0.137652,0.022955,0.030052,"[ 4.77916246e-03 -1.07571134e-02 -3.62546896e-05 -1.26600585e-08
 -2.15870625e-07  6.22579685e-05]",0.066072,0
"[[196, 201], [258, 205], [215, 208], [236, 209], [226, 209], [239, 198], [200, 209], [262, 198]]",68,0.141662,0.024478,0.031519,"[ 4.08662505e-03 -7.21626682e-03 -1.40145509e-05 -1.18674733e-07
 -7.10522119e-08  3.08794706e-05]",0.066259,0
"[[196, 202], [257, 205], [215, 209], [235, 209], [226, 210], [239, 200], [200, 210], [262, 199]]",69,0.123857,0.024778,0.02868,"[ 4.24316717e-03 -4.88665165e-03 -2.59725132e-05  1.83886863e-07
 -5.38347680e-08  1.53415471e-05]",0.056086,0
"[[195, 202], [256, 205], [214, 209], [235, 209], [224, 210], [237, 199], [199, 210], [261, 199]]",70,0.13474,0.024635,0.028301,"[ 3.78120426e-03 -3.94374637e-03 -1.11094429e-05  1.72563047e-08
 -8.51123030e-09  6.25408748e-06]",0.067109,0
"[[195, 203], [256, 206], [214, 210], [234, 210], [224, 211], [238, 200], [199, 211], [261, 200]]",71,0.132879,0.023299,0.027069,"[ 3.68438788e-03 -9.11028089e-03 -4.92646993e-05  2.10177125e-07
 -2.22376654e-07  5.01307379e-05]",0.066039,0
"[[194, 203], [255, 206], [213, 210], [233, 210], [223, 211], [236, 200], [198, 212], [260, 200]]",72,0.132339,0.023825,0.028441,"[ 3.14322923e-03 -6.68855663e-03 -3.22954034e-05  9.20530251e-08
 -1.45631630e-07  2.89131077e-05]",0.066399,0
"[[194, 204], [256, 208], [213, 211], [233, 211], [223, 212], [237, 201], [198, 212], [260, 201]]",73,0.132501,0.023749,0.027502,"[ 3.48824709e-03 -7.24038137e-03 -3.14126131e-05  8.46440635e-08
 -1.21024864e-07  3.77097407e-05]",0.066758,0
"[[194, 204], [255, 208], [213, 211], [233, 212], [224, 212], [236, 202], [198, 213], [260, 201]]",74,0.132679,0.023896,0.027577,"[ 3.88065943e-03 -4.84033734e-03 -1.37816867e-05 -3.72709332e-08
 -5.88038888e-08  2.21673121e-05]",0.066862,0
"[[193, 205], [254, 208], [212, 212], [233, 213], [223, 213], [235, 202], [198, 213], [259, 202]]",75,0.141233,0.02549,0.029167,"[ 3.82416561e-03 -1.33780444e-03  1.01663400e-05 -1.77451543e-07
  5.66201368e-08 -3.68375579e-06]",0.0732,0
"[[193, 205], [253, 209], [212, 212], [232, 213], [222, 214], [235, 203], [198, 214], [259, 203]]",76,0.125537,0.024451,0.028217,"[ 4.82312517e-03 -5.79441152e-03 -2.00293146e-05 -3.24535458e-09
 -1.23198845e-07  4.22114123e-05]",0.056656,0
"[[192, 206], [253, 209], [211, 212], [232, 213], [221, 213], [234, 203], [197, 214], [258, 203]]",77,0.133445,0.023495,0.027322,"[ 3.60961247e-03  2.26720479e-03  1.03235418e-05  6.84662963e-08
  1.67555841e-07 -3.05563086e-05]",0.066619,0
"[[192, 206], [252, 209], [211, 213], [231, 214], [221, 214], [234, 204], [196, 215], [258, 203]]",78,0.134777,0.023621,0.02806,"[ 3.28802038e-03 -6.44039176e-03 -3.62820311e-05  1.21985069e-07
 -1.81085426e-07  3.96267588e-05]",0.066789,0
"[[191, 206], [252, 209], [210, 213], [231, 214], [220, 214], [233, 203], [196, 214], [257, 203]]",79,0.132183,0.02332,0.027148,"[ 3.18085153e-03 -2.19099188e-03  2.01353396e-07 -1.05686509e-07
  1.15799581e-08  5.31157325e-06]",0.066501,0
"[[191, 207], [252, 211], [210, 214], [230, 214], [220, 215], [233, 205], [195, 215], [257, 204]]",80,0.133291,0.024276,0.028053,"[ 3.31065296e-03 -1.68827096e-03 -1.01102961e-05  9.58553174e-08
  3.00087853e-08  5.42274920e-06]",0.066526,0
"[[191, 207], [251, 210], [210, 214], [230, 214], [220, 215], [233, 205], [195, 215], [256, 204]]",81,0.131049,0.02462,0.028428,"[ 3.70063967e-03 -1.78475447e-03 -1.36076659e-05  1.08101328e-07
 -2.63122696e-08  9.37387805e-06]",0.066647,0
"[[190, 207], [250, 210], [209, 214], [229, 214], [219, 215], [231, 205], [194, 215], [256, 204]]",82,0.133735,0.024722,0.028559,"[ 2.97386730e-03  1.42865004e-03  2.03145999e-06  9.73259562e-08
  1.08088901e-07 -1.98169117e-05]",0.066269,0
"[[190, 207], [251, 211], [209, 214], [229, 215], [219, 215], [232, 206], [194, 216], [256, 204]]",83,0.134503,0.023622,0.027397,"[ 2.85743320e-03 -2.64655932e-03 -1.48771363e-05  8.02842086e-08
 -1.45466189e-08  1.27073063e-05]",0.066996,0
"[[190, 207], [250, 210], [209, 214], [228, 215], [219, 215], [231, 205], [194, 216], [256, 204]]",84,0.134266,0.023762,0.02847,"[ 2.85742184e-03 -3.90894465e-03 -2.50119469e-05  1.08792075e-07
 -1.05611457e-07  2.30686207e-05]",0.066205,0
"[[189, 207], [249, 211], [208, 214], [228, 215], [218, 215], [230, 205], [193, 216], [255, 205]]",85,0.133373,0.02406,0.027978,"[ 3.39326435e-03 -1.88912948e-03 -5.71307161e-06  1.91169795e-08
  9.55136925e-09  1.35109589e-05]",0.066455,0
"[[189, 208], [249, 212], [208, 215], [227, 215], [218, 216], [230, 206], [193, 216], [255, 205]]",86,0.132434,0.023953,0.027717,"[ 3.25359346e-03 -7.43965110e-04 -8.25619469e-06  1.11682754e-07
  2.90601972e-08  4.95690496e-06]",0.066483,0
"[[189, 208], [249, 212], [207, 215], [227, 216], [218, 216], [230, 206], [193, 217], [254, 205]]",87,0.13446,0.024536,0.028518,"[ 3.25725799e-03 -3.71056215e-03 -1.57884607e-05 -6.57222327e-09
 -9.64951772e-08  2.98299273e-05]",0.066842,0
"[[188, 208], [249, 212], [207, 215], [227, 216], [217, 216], [230, 206], [192, 217], [254, 205]]",88,0.135914,0.024473,0.028333,"[ 2.23924102e-03 -4.70561851e-03 -2.27201429e-05  3.03150467e-08
 -1.00185762e-07  3.08098446e-05]",0.068027,0
"[[188, 209], [248, 213], [207, 216], [227, 217], [217, 217], [230, 207], [193, 217], [254, 206]]",89,0.134104,0.023501,0.028097,"[ 3.41871785e-03 -2.73653161e-03 -1.29688228e-05  2.78902734e-08
 -5.48126199e-08  2.61004929e-05]",0.066707,0
"[[188, 209], [248, 213], [207, 216], [227, 217], [217, 217], [229, 207], [192, 218], [253, 206]]",90,0.132185,0.023498,0.027948,"[ 3.06022825e-03 -1.47871447e-03  7.69175243e-07 -1.22624571e-07
 -2.13107501e-08  1.43958402e-05]",0.06731,0
"[[188, 209], [248, 213], [206, 216], [227, 218], [216, 217], [229, 207], [192, 218], [253, 206]]",91,0.134473,0.025404,0.029192,"[ 2.99175297e-03 -4.45785697e-03 -1.28321941e-05 -1.13175793e-07
 -1.16600064e-07  3.84529411e-05]",0.066689,0
"[[188, 210], [247, 213], [206, 217], [226, 218], [216, 218], [229, 207], [192, 218], [252, 207]]",92,0.134618,0.025497,0.029227,"[ 3.81283074e-03 -5.84108154e-03 -2.88393778e-05  4.83739055e-10
 -2.34303778e-07  5.76928836e-05]",0.066161,0
"[[187, 210], [246, 214], [205, 218], [226, 218], [216, 219], [228, 209], [191, 219], [252, 207]]",93,0.123072,0.024382,0.028351,"[ 2.96278394e-03 -3.69281340e-03 -1.32975858e-05 -9.70175740e-08
 -1.32151497e-07  3.70802818e-05]",0.056359,0
"[[187, 211], [247, 215], [205, 218], [225, 218], [215, 219], [228, 209], [191, 219], [252, 208]]",94,0.144962,0.023478,0.027431,"[ 2.87987353e-03 -7.68241314e-04 -1.42452031e-05  1.38198868e-07
 -1.55871602e-08  1.44555769e-05]",0.076658,0
"[[187, 211], [246, 215], [205, 218], [224, 219], [215, 219], [227, 210], [191, 219], [252, 208]]",95,0.123682,0.023366,0.027209,"[ 3.64012357e-03 -3.13368094e-06 -1.20193400e-05  1.66690269e-07
 -8.94776396e-09  1.57537667e-05]",0.056695,0
"[[186, 211], [245, 214], [204, 218], [224, 219], [214, 219], [226, 209], [190, 219], [251, 208]]",96,0.135343,0.02382,0.028357,"[ 2.67269719e-03  4.29229222e-04 -5.40046613e-06  6.27523539e-08
 -6.76200600e-12  6.19034669e-06]",0.066098,0
"[[186, 211], [245, 214], [204, 218], [224, 219], [214, 219], [226, 209], [190, 219], [251, 209]]",97,0.134874,0.023998,0.028116,"[ 3.13380288e-03  1.80913746e-03  6.76998515e-08  1.07287265e-07
  6.41900301e-08 -7.85647203e-07]",0.067443,0
"[[185, 211], [244, 215], [203, 219], [223, 219], [213, 220], [225, 210], [189, 220], [250, 208]]",98,0.133736,0.02403,0.027809,"[ 2.48564712e-03 -2.68724296e-03 -1.42004888e-05 -3.38384792e-08
 -1.17619699e-07  3.30114695e-05]",0.066048,0
"[[185, 211], [244, 214], [203, 218], [222, 219], [213, 219], [225, 209], [189, 219], [250, 208]]",99,0.130038,0.024498,0.028329,"[ 2.58143767e-03 -1.50166750e-03 -2.04164992e-05  1.55622984e-07
 -8.26084568e-08  2.33372611e-05]",0.066113,0
